id|nct_id|result_group_id|ctgov_group_code|units|scope|count
170967|NCT01366846|1462518|B3|Participants|Overall|47
170968|NCT01366846|1462519|B2|Participants|Overall|228
170969|NCT01366846|1462520|B1|Participants|Overall|235
170970|NCT01366638|1462543|B4|Participants|Overall|79
170971|NCT01366638|1462544|B3|Participants|Overall|26
170972|NCT01366638|1462545|B2|Participants|Overall|29
170973|NCT01366638|1462546|B1|Participants|Overall|24
170974|NCT01366534|1462582|B4|Participants|Overall|67
170975|NCT01366534|1462583|B3|Participants|Overall|12
170976|NCT01366534|1462584|B2|Participants|Overall|27
170977|NCT01366534|1462585|B1|Participants|Overall|28
170978|NCT01366521|1462633|B5|Participants|Overall|70
170979|NCT01366521|1462634|B4|Participants|Overall|11
170980|NCT01366521|1462635|B3|Participants|Overall|23
170981|NCT01366521|1462636|B2|Participants|Overall|15
170982|NCT01366521|1462637|B1|Participants|Overall|21
170983|NCT01366443|1462715|B1|Participants|Overall|288
170984|NCT01366417|1462720|B1|Participants|Overall|28
170985|NCT01366209|1462727|B3|Participants|Overall|555
170986|NCT01366209|1462728|B2|Participants|Overall|277
170987|NCT01366209|1462729|B1|Participants|Overall|278
170988|NCT01366196|1462736|B3|Participants|Overall|86
170989|NCT01366196|1462737|B2|Participants|Overall|43
170990|NCT01366196|1462738|B1|Participants|Overall|43
170991|NCT01366092|1462747|B1|Participants|Overall|35
170992|NCT01365910|1462756|B1|Participants|Overall|30
170993|NCT01365845|1462763|B1|Participants|Overall|18
170994|NCT01365819|1462770|B3|Participants|Overall|52
170995|NCT01365819|1462771|B2|Participants|Overall|27
170996|NCT01365819|1462772|B1|Participants|Overall|25
170997|NCT01365650|1462779|B1|Participants|Overall|24
170998|NCT01365624|1462802|B3|Participants|Overall|30
170999|NCT01365624|1462803|B2|Participants|Overall|15
171000|NCT01365624|1462804|B1|Participants|Overall|15
171001|NCT01365611|1462821|B1|Participants|Overall|36
171002|NCT01365585|1462837|B1|Participants|Overall|227
171003|NCT01365546|1462851|B1|Participants|Overall|41
171004|NCT01365507|1462859|B3|Participants|Overall|276
171005|NCT01365507|1462860|B2|Participants|Overall|140
171006|NCT01365507|1462861|B1|Participants|Overall|136
171007|NCT01365494|1462876|B3|Participants|Overall|250
171008|NCT01365494|1462877|B2|Participants|Overall|124
171009|NCT01365494|1462878|B1|Participants|Overall|126
171010|NCT01365481|1462891|B5|Participants|Overall|150
171011|NCT01365481|1462892|B4|Participants|Overall|57
171012|NCT01365481|1462893|B3|Participants|Overall|18
171013|NCT01365481|1462894|B2|Participants|Overall|52
171014|NCT01365481|1462895|B1|Participants|Overall|23
171015|NCT01365468|1462916|B3|Participants|Overall|9
